Data,Liga,Mandante,Visitante
13/12/2025,La Liga,Atl. Madrid,Valencia
13/12/2025,La Liga,Mallorca,Elche
13/12/2025,La Liga,Barcelona,Osasuna
13/12/2025,La Liga,Getafe,Espanyol
14/12/2025,La Liga,Sevilla,Real Oviedo
14/12/2025,La Liga,Celta,Athletic Club
14/12/2025,La Liga,Levante,Villarreal
14/12/2025,La Liga,Alavés,Real Madrid
15/12/2025,La Liga,Rayo Vallecano,Real Betis
19/12/2025,La Liga,Valencia,Mallorca
20/12/2025,La Liga,Real Oviedo,Celta
20/12/2025,La Liga,Levante,Real Sociedad
20/12/2025,La Liga,Osasuna,Alavés
20/12/2025,La Liga,Real Madrid,Sevilla
21/12/2025,La Liga,Girona,Atl. Madrid
21/12/2025,La Liga,Villarreal,Barcelona
21/12/2025,La Liga,Elche,Rayo Vallecano
21/12/2025,La Liga,Real Betis,Getafe
22/12/2025,La Liga,Athletic Club,Espanyol
02/01/2026,La Liga,Getafe,Rayo Vallecano
03/01/2026,La Liga,Celta,Valencia
03/01/2026,La Liga,Osasuna,Athletic Club
03/01/2026,La Liga,Elche,Villarreal
03/01/2026,La Liga,Espanyol,Barcelona
04/01/2026,La Liga,Sevilla,Levante
04/01/2026,La Liga,Real Madrid,Real Betis
04/01/2026,La Liga,Mallorca,Girona
04/01/2026,La Liga,Alavés,Real Oviedo
04/01/2026,La Liga,Real Sociedad,Atl. Madrid
11/01/2026,La Liga,Real Oviedo,Real Betis
11/01/2026,La Liga,Sevilla,Celta
11/01/2026,La Liga,Getafe,Real Sociedad
11/01/2026,La Liga,Villarreal,Alavés
11/01/2026,La Liga,Girona,Osasuna
11/01/2026,La Liga,Valencia,Elche
11/01/2026,La Liga,Rayo Vallecano,Mallorca
11/01/2026,La Liga,Levante,Espanyol
18/01/2026,La Liga,Real Madrid,Levante
18/01/2026,La Liga,Real Sociedad,Barcelona
18/01/2026,La Liga,Atl. Madrid,Alavés
18/01/2026,La Liga,Real Betis,Villarreal
18/01/2026,La Liga,Mallorca,Athletic Club
18/01/2026,La Liga,Espanyol,Girona
18/01/2026,La Liga,Elche,Sevilla
18/01/2026,La Liga,Getafe,Valencia
18/01/2026,La Liga,Celta,Rayo Vallecano
18/01/2026,La Liga,Osasuna,Real Oviedo
25/01/2026,La Liga,Villarreal,Real Madrid
25/01/2026,La Liga,Barcelona,Real Oviedo
25/01/2026,La Liga,Atl. Madrid,Mallorca
25/01/2026,La Liga,Sevilla,Athletic Club
25/01/2026,La Liga,Real Sociedad,Celta
25/01/2026,La Liga,Alavés,Real Betis
25/01/2026,La Liga,Girona,Getafe
25/01/2026,La Liga,Valencia,Espanyol
25/01/2026,La Liga,Rayo Vallecano,Osasuna
25/01/2026,La Liga,Levante,Elche
01/02/2026,La Liga,Real Madrid,Rayo Vallecano
01/02/2026,La Liga,Elche,Barcelona
01/02/2026,La Liga,Levante,Atl. Madrid
01/02/2026,La Liga,Athletic Club,Real Sociedad
01/02/2026,La Liga,Real Betis,Valencia
01/02/2026,La Liga,Mallorca,Sevilla
01/02/2026,La Liga,Osasuna,Villarreal
01/02/2026,La Liga,Real Oviedo,Girona
01/02/2026,La Liga,Getafe,Celta
01/02/2026,La Liga,Espanyol,Alavés
08/02/2026,La Liga,Valencia,Real Madrid
08/02/2026,La Liga,Barcelona,Mallorca
08/02/2026,La Liga,Atl. Madrid,Real Betis
08/02/2026,La Liga,Sevilla,Girona
08/02/2026,La Liga,Athletic Club,Levante
08/02/2026,La Liga,Villarreal,Espanyol
08/02/2026,La Liga,Real Sociedad,Elche
08/02/2026,La Liga,Celta,Osasuna
08/02/2026,La Liga,Alavés,Getafe
08/02/2026,La Liga,Rayo Vallecano,Real Oviedo
15/02/2026,La Liga,Real Madrid,Real Sociedad
15/02/2026,La Liga,Girona,Barcelona
15/02/2026,La Liga,Rayo Vallecano,Atl. Madrid
15/02/2026,La Liga,Mallorca,Real Betis
15/02/2026,La Liga,Sevilla,Alavés
15/02/2026,La Liga,Getafe,Villarreal
15/02/2026,La Liga,Real Oviedo,Athletic Club
15/02/2026,La Liga,Levante,Valencia
15/02/2026,La Liga,Espanyol,Celta
15/02/2026,La Liga,Elche,Osasuna
22/02/2026,La Liga,Osasuna,Real Madrid
22/02/2026,La Liga,Barcelona,Levante
22/02/2026,La Liga,Atl. Madrid,Espanyol
22/02/2026,La Liga,Real Betis,Rayo Vallecano
22/02/2026,La Liga,Villarreal,Valencia
22/02/2026,La Liga,Getafe,Sevilla
22/02/2026,La Liga,Alavés,Girona
22/02/2026,La Liga,Athletic Club,Elche
22/02/2026,La Liga,Real Sociedad,Real Oviedo
22/02/2026,La Liga,Celta,Mallorca
01/03/2026,La Liga,Real Madrid,Getafe
01/03/2026,La Liga,Barcelona,Villarreal
01/03/2026,La Liga,Real Oviedo,Atl. Madrid
01/03/2026,La Liga,Real Betis,Sevilla
01/03/2026,La Liga,Rayo Vallecano,Athletic Club
01/03/2026,La Liga,Girona,Celta
01/03/2026,La Liga,Mallorca,Real Sociedad
01/03/2026,La Liga,Valencia,Osasuna
01/03/2026,La Liga,Elche,Espanyol
01/03/2026,La Liga,Levante,Alavés
08/03/2026,La Liga,Celta,Real Madrid
08/03/2026,La Liga,Athletic Club,Barcelona
08/03/2026,La Liga,Atl. Madrid,Real Sociedad
08/03/2026,La Liga,Getafe,Real Betis
08/03/2026,La Liga,Sevilla,Rayo Vallecano
08/03/2026,La Liga,Levante,Girona
08/03/2026,La Liga,Valencia,Alavés
08/03/2026,La Liga,Villarreal,Elche
08/03/2026,La Liga,Osasuna,Mallorca
08/03/2026,La Liga,Espanyol,Real Oviedo
15/03/2026,La Liga,Real Madrid,Elche
15/03/2026,La Liga,Barcelona,Sevilla
15/03/2026,La Liga,Atl. Madrid,Getafe
15/03/2026,La Liga,Girona,Athletic Club
15/03/2026,La Liga,Real Betis,Celta
15/03/2026,La Liga,Real Sociedad,Osasuna
15/03/2026,La Liga,Alavés,Villarreal
15/03/2026,La Liga,Real Oviedo,Valencia
15/03/2026,La Liga,Mallorca,Espanyol
15/03/2026,La Liga,Rayo Vallecano,Levante
22/03/2026,La Liga,Real Madrid,Atl. Madrid
22/03/2026,La Liga,Barcelona,Rayo Vallecano
22/03/2026,La Liga,Athletic Club,Real Betis
22/03/2026,La Liga,Villarreal,Real Sociedad
22/03/2026,La Liga,Sevilla,Valencia
22/03/2026,La Liga,Osasuna,Girona
22/03/2026,La Liga,Celta,Alavés
22/03/2026,La Liga,Espanyol,Getafe
22/03/2026,La Liga,Elche,Mallorca
22/03/2026,La Liga,Levante,Real Oviedo
05/04/2026,La Liga,Atl. Madrid,Barcelona
05/04/2026,La Liga,Mallorca,Real Madrid
05/04/2026,La Liga,Girona,Villarreal
05/04/2026,La Liga,Getafe,Athletic Club
05/04/2026,La Liga,Real Betis,Espanyol
05/04/2026,La Liga,Valencia,Celta
05/04/2026,La Liga,Real Sociedad,Levante
05/04/2026,La Liga,Real Oviedo,Sevilla
05/04/2026,La Liga,Alavés,Osasuna
05/04/2026,La Liga,Rayo Vallecano,Elche
12/04/2026,La Liga,Real Madrid,Girona
12/04/2026,La Liga,Barcelona,Espanyol
